phase,elapsed_ms,raw,voltage_mv
fast,2396,1315,6392
fast,2406,1309,6363
fast,2416,1311,6375
fast,2426,1314,6392
fast,2436,1316,6398
fast,2446,1315,6392
fast,2456,1315,6392
fast,2466,1317,6404
fast,2476,1315,6392
fast,2487,1311,6375
fast,2496,1311,6375
fast,2506,1299,6316
fast,2516,1315,6392
fast,2526,1311,6375
fast,2536,1311,6375
fast,2546,1311,6375
fast,2556,1311,6375
fast,2566,1315,6392
fast,2576,1312,6381
fast,2586,1315,6392
fast,2596,1315,6392
fast,2606,1315,6392
fast,2616,1311,6375
fast,2626,1316,6398
fast,2636,1315,6392
fast,2646,1315,6392
fast,2656,1315,6392
fast,2666,1315,6392
fast,2676,1311,6375
fast,2686,1312,6381
fast,2696,1311,6375
fast,2706,1315,6392
fast,2716,1311,6375
fast,2726,1316,6398
fast,2736,1311,6375
fast,2746,1312,6381
fast,2756,1315,6392
fast,2766,1312,6381
fast,2776,1311,6375
fast,2786,1315,6392
fast,2796,1311,6375
fast,2806,1316,6398
fast,2816,1311,6375
fast,2826,1311,6375
fast,2836,1311,6375
fast,2846,1315,6392
fast,2856,1315,6392
fast,2866,1317,6404
fast,2876,1315,6392
fast,2886,1311,6375
fast,2896,1311,6375
fast,2906,1316,6398
fast,2916,1300,6322
fast,2926,1315,6392
fast,2936,1311,6375
fast,2946,1317,6404
fast,2956,1312,6381
fast,2966,1315,6392
fast,2976,1310,6369
fast,2987,1314,6392
fast,2996,1311,6375
fast,3006,1315,6392
fast,3016,1311,6375
fast,3026,1311,6375
fast,3036,1311,6375
fast,3046,1314,6392
fast,3056,1311,6375
fast,3066,1310,6369
fast,3076,1307,6357
fast,3086,1309,6363
fast,3096,1309,6363
fast,3106,1311,6375
fast,3116,1315,6392
fast,3126,1315,6392
fast,3136,1311,6375
fast,3146,1316,6398
fast,3156,1309,6363
fast,3166,1309,6363
fast,3176,1306,6351
fast,3186,1311,6375
fast,3196,1309,6363
fast,3206,1311,6375
fast,3216,1307,6357
fast,3226,1311,6375
fast,3236,1311,6375
fast,3246,1312,6381
fast,3256,1315,6392
fast,3266,1315,6392
fast,3276,1310,6369
fast,3286,1309,6363
fast,3296,1309,6363
fast,3306,1310,6369
fast,3316,1315,6392
fast,3326,1307,6357
fast,3336,1308,6363
fast,3346,1310,6369
fast,3356,1315,6392
fast,3366,1311,6375
fast,3376,1311,6375
fast,3386,1311,6375
fast,3396,1311,6375
fast,3406,1308,6363
fast,3416,1309,6363
fast,3426,1239,6022
fast,3436,1315,6392
fast,3446,1310,6369
fast,3456,1307,6357
fast,3466,1310,6369
fast,3476,1311,6375
fast,3487,1309,6363
fast,3496,1315,6392
fast,3506,1315,6392
fast,3516,1315,6392
fast,3526,1309,6363
fast,3536,1309,6363
fast,3546,1307,6357
fast,3556,1311,6375
fast,3566,1309,6363
fast,3576,1307,6357
fast,3586,1308,6363
fast,3596,1309,6363
fast,3606,1311,6375
fast,3616,1311,6375
fast,3626,1315,6392
fast,3636,1311,6375
fast,3646,1317,6404
fast,3656,1308,6363
fast,3666,1308,6363
fast,3676,1311,6375
fast,3686,1312,6381
fast,3696,1307,6357
fast,3706,1309,6363
fast,3716,1311,6375
fast,3726,1315,6392
fast,3736,1309,6363
fast,3746,1314,6392
fast,3756,1315,6392
fast,3766,1315,6392
fast,3776,1307,6357
fast,3786,1307,6357
fast,3796,1310,6369
fast,3806,1316,6398
fast,3816,1307,6357
fast,3826,1310,6369
fast,3836,1242,6040
fast,3846,1311,6375
fast,3856,1311,6375
fast,3866,1311,6375
fast,3876,1312,6381
fast,3886,1315,6392
fast,3896,1307,6357
fast,3906,1311,6375
fast,3916,1309,6363
fast,3926,1311,6375
fast,3936,1306,6351
fast,3946,1309,6363
fast,3956,1311,6375
fast,3966,1315,6392
fast,3976,1311,6375
fast,3987,1309,6363
fast,3996,1311,6375
fast,4006,1311,6375
fast,4016,1307,6357
fast,4026,1309,6363
fast,4036,1308,6363
fast,4046,1311,6375
fast,4056,1311,6375
fast,4066,1306,6351
fast,4076,1311,6375
fast,4086,1311,6375
fast,4096,1309,6363
fast,4106,1310,6369
fast,4116,1311,6375
fast,4126,1316,6398
fast,4136,1315,6392
fast,4146,1306,6351
fast,4156,1311,6375
fast,4166,1316,6398
fast,4176,1311,6375
fast,4186,1311,6375
fast,4196,1309,6363
fast,4206,1315,6392
fast,4216,1312,6381
fast,4226,1311,6375
fast,4236,1315,6392
fast,4246,1237,6016
fast,4256,1311,6375
fast,4266,1317,6404
fast,4276,1311,6375
fast,4286,1312,6381
fast,4296,1315,6392
fast,4306,1311,6375
fast,4316,1315,6392
fast,4326,1316,6398
fast,4336,1310,6369
fast,4346,1311,6375
fast,4356,1312,6381
fast,4366,1311,6375
fast,4376,1311,6375
fast,4386,1315,6392
fast,4396,1311,6375
fast,4406,1310,6369
fast,4416,1309,6363
fast,4426,1315,6392
fast,4436,1311,6375
fast,4446,1315,6392
fast,4456,1310,6369
fast,4466,1311,6375
fast,4476,1312,6381
fast,4487,1309,6363
fast,4496,1315,6392
fast,4506,1311,6375
fast,4516,1311,6375
fast,4526,1311,6375
fast,4536,1315,6392
fast,4546,1317,6404
fast,4556,1237,6016
fast,4566,1311,6375
fast,4576,1311,6375
fast,4586,1314,6392
fast,4596,1311,6375
fast,4606,1309,6363
fast,4616,1311,6375
fast,4626,1312,6381
fast,4636,1311,6375
fast,4646,1315,6392
fast,4656,1237,6016
fast,4666,1311,6375
fast,4676,1315,6392
fast,4686,1317,6404
fast,4696,1314,6392
fast,4706,1315,6392
fast,4716,1312,6381
fast,4726,1315,6392
fast,4736,1311,6375
fast,4746,1312,6381
fast,4756,1315,6392
fast,4766,1314,6392
fast,4776,1315,6392
fast,4786,1315,6392
fast,4796,1315,6392
fast,4806,1315,6392
fast,4816,1315,6392
fast,4826,1315,6392
fast,4836,1315,6392
fast,4846,1315,6392
fast,4856,1315,6392
fast,4866,1315,6392
fast,4876,1311,6375
fast,4886,1316,6398
fast,4896,1311,6375
fast,4906,1317,6404
fast,4916,1311,6375
fast,4926,1315,6392
fast,4936,1315,6392
fast,4946,1317,6404
fast,4956,1315,6392
fast,4966,1311,6375
fast,4976,1311,6375
fast,4987,1311,6375
fast,4996,1311,6375
medium,4,1311,6375
medium,50,1311,6375
medium,100,1315,6392
medium,150,1311,6375
medium,200,1315,6392
medium,250,1309,6363
medium,300,1309,6363
medium,350,1311,6375
medium,400,1307,6357
medium,450,1311,6375
medium,500,1309,6363
medium,550,1309,6363
medium,600,1311,6375
medium,650,1311,6375
medium,700,1311,6375
medium,750,1308,6363
medium,800,1312,6381
medium,850,1315,6392
medium,900,1309,6363
medium,950,1315,6392
medium,1000,1308,6363
medium,1050,1312,6381
medium,1100,1310,6369
medium,1150,1315,6392
medium,1200,1315,6392
medium,1250,1315,6392
medium,1300,1311,6375
medium,1350,1311,6375
medium,1400,1311,6375
medium,1450,1312,6381
medium,1500,1311,6375
medium,1550,1315,6392
medium,1600,1315,6392
medium,1650,1311,6375
medium,1700,1312,6381
medium,1750,1311,6375
medium,1800,1240,6028
medium,1850,1311,6375
medium,1900,1315,6392
medium,1950,1311,6375
medium,2000,1315,6392
medium,2050,1311,6375
medium,2100,1307,6357
medium,2150,1312,6381
medium,2200,1311,6375
medium,2250,1310,6369
medium,2300,1314,6392
medium,2350,1311,6375
medium,2400,1311,6375
medium,2450,1307,6357
medium,2500,1306,6351
medium,2550,1312,6381
medium,2600,1311,6375
medium,2650,1315,6392
medium,2700,1309,6363
medium,2750,1309,6363
medium,2800,1311,6375
medium,2850,1315,6392
medium,2900,1312,6381
medium,2950,1309,6363
medium,3000,1309,6363
medium,3050,1315,6392
medium,3100,1310,6369
medium,3150,1317,6404
medium,3200,1311,6375
medium,3250,1311,6375
medium,3300,1315,6392
medium,3350,1316,6398
medium,3400,1312,6381
medium,3450,1311,6375
medium,3500,1309,6363
medium,3550,1312,6381
medium,3600,1311,6375
medium,3650,1311,6375
medium,3700,1315,6392
medium,3750,1315,6392
medium,3800,1315,6392
medium,3850,1311,6375
medium,3900,1316,6398
medium,3950,1243,6046
medium,4000,1311,6375
medium,4050,1311,6375
medium,4100,1307,6357
medium,4150,1312,6381
medium,4200,1311,6375
medium,4250,1312,6381
medium,4300,1311,6375
medium,4350,1309,6363
medium,4400,1311,6375
medium,4450,1310,6369
medium,4500,1311,6375
medium,4550,1310,6369
medium,4600,1310,6369
medium,4650,1317,6404
medium,4700,1309,6363
medium,4750,1317,6404
medium,4800,1308,6363
medium,4850,1311,6375
medium,4900,1316,6398
medium,4950,1309,6363
medium,5000,1311,6375
medium,5050,1310,6369
medium,5100,1315,6392
medium,5150,1311,6375
medium,5200,1315,6392
medium,5250,1311,6375
medium,5300,1312,6381
medium,5350,1311,6375
medium,5400,1311,6375
medium,5450,1312,6381
medium,5500,1315,6392
medium,5550,1311,6375
medium,5600,1312,6381
medium,5650,1309,6363
medium,5700,1315,6392
medium,5750,1315,6392
medium,5800,1312,6381
medium,5850,1311,6375
medium,5900,1311,6375
medium,5950,1309,6363
medium,6000,1309,6363
medium,6050,1311,6375
medium,6100,1240,6028
medium,6150,1311,6375
medium,6200,1309,6363
medium,6250,1316,6398
medium,6300,1308,6363
medium,6350,1315,6392
